2023-05-09 14:20:48,108 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.00132, 'ap': 27867.13, 'as': 0.19, 't': Timestamp(seconds=1683660047, nanoseconds=996034412)}
2023-05-09 14:20:48,776 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.00132, 'ap': 27866.78, 'as': 0.03588, 't': Timestamp(seconds=1683660048, nanoseconds=807039580)}
2023-05-09 14:20:48,782 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.00132, 'ap': 27864.47, 'as': 0.19, 't': Timestamp(seconds=1683660048, nanoseconds=813459998)}
2023-05-09 14:20:48,803 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.00132, 'ap': 27864.47, 'as': 0.38, 't': Timestamp(seconds=1683660048, nanoseconds=834370154)}
2023-05-09 14:20:48,855 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27856.61, 'bs': 0.00532, 'ap': 27864.47, 'as': 0.38, 't': Timestamp(seconds=1683660048, nanoseconds=886645140)}
2023-05-09 14:20:48,856 - INFO - trade {'T': 't', 'S': 'BTC/USD', 'p': 27860.79, 's': 0.00132, 't': Timestamp(seconds=1683660048, nanoseconds=878000000), 'i': 16579693, 'tks': 'S'}
2023-05-09 14:20:48,880 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27856.61, 'bs': 0.00532, 'ap': 27864.45, 'as': 0.03588, 't': Timestamp(seconds=1683660048, nanoseconds=911415779)}
2023-05-09 14:20:48,886 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27856.61, 'bs': 0.00532, 'ap': 27863.06, 'as': 0.19, 't': Timestamp(seconds=1683660048, nanoseconds=917480874)}
2023-05-09 14:20:48,890 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27856.61, 'bs': 0.00532, 'ap': 27861.67, 'as': 0.19, 't': Timestamp(seconds=1683660048, nanoseconds=921729162)}
2023-05-09 14:20:48,892 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27856.61, 'bs': 0.00532, 'ap': 27863.06, 'as': 0.19, 't': Timestamp(seconds=1683660048, nanoseconds=923534846)}
2023-05-09 14:20:48,895 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27856.61, 'bs': 0.00532, 'ap': 27864.47, 'as': 0.38, 't': Timestamp(seconds=1683660048, nanoseconds=925966008)}
2023-05-09 14:20:48,896 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27856.61, 'bs': 0.00532, 'ap': 27864.47, 'as': 0.19, 't': Timestamp(seconds=1683660048, nanoseconds=927131452)}
2023-05-09 14:20:48,898 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27856.61, 'bs': 0.00532, 'ap': 27861.67, 'as': 0.19, 't': Timestamp(seconds=1683660048, nanoseconds=928411520)}
2023-05-09 14:20:48,899 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27856.61, 'bs': 0.00532, 'ap': 27861.67, 'as': 0.38, 't': Timestamp(seconds=1683660048, nanoseconds=930337147)}
